_bill,_district,_id,_joined_at,_name,_state,_title,_type
hr7,23,M001165,2015-01-21,"McCarthy, Kevin",CA,Rep,original cosponsor
hr7,10,M001156,2015-01-21,"McHenry, Patrick T.",NC,Rep,original cosponsor
hr7,5,M001159,2015-01-21,"McMorris Rodgers, Cathy",WA,Rep,original cosponsor
hr7,2,M001195,2015-01-22,"Mooney, Alexander X.",WV,Rep,cosponsor
hr7,16,P000373,2015-01-21,"Pitts, Joseph R.",PA,Rep,original cosponsor
hr7,2,P000592,2015-01-22,"Poe, Ted",TX,Rep,cosponsor
hr7,2,R000591,2015-01-21,"Roby, Martha",AL,Rep,original cosponsor
hr7,27,R000435,2015-01-21,"Ros-Lehtinen, Ileana",FL,Rep,original cosponsor
hr7,1,S001176,2015-01-21,"Scalise, Steve",LA,Rep,original cosponsor
hr7,8,S001189,2015-01-22,"Scott, Austin",GA,Rep,cosponsor
